Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-08-01T00:00:00,543,Vores Elnet A/S,904,3
2023-08-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,48,0
2023-08-01T00:00:00,740,Cerius A/S - 740,2253,94
2023-08-01T00:00:00,757,Elektrus A/S,80,0
2023-08-01T00:00:00,791,Radius Elnet A/S,5119,160
2023-08-01T00:00:00,853,Cerius A/S - 853,29,0
2023-08-01T00:00:00,854,NKE-Elnet A/S,102,1
2023-08-01T00:00:00,860,Zeanet A/S,133,1
2023-08-01T00:00:00,911,TREFOR El-Net Øst A/S,73,0
2023-07-01T00:00:00,016,El-net Kongerslev A/S,4,0
2023-07-01T00:00:00,031,Nord Energi Net A/S,580,16
2023-07-01T00:00:00,042,Netselskabet Elværk A/S - 042,51,1
2023-07-01T00:00:00,051,Elinord A/S,99,2
2023-07-01T00:00:00,084,Kimbrer Elnet A/S,26,0
2023-07-01T00:00:00,085,Læsø Elnet A/S,9,0
2023-07-01T00:00:00,131,N1 A/S - 131,2695,13
2023-07-01T00:00:00,141,Hammel Elforsyning Net A/S,29,0
2023-07-01T00:00:00,151,Konstant Net A/S - 151,887,2
2023-07-01T00:00:00,154,Elnet Midt A/S,186,0
2023-07-01T00:00:00,233,Dinel A/S - 233,637,1
2023-07-01T00:00:00,244,TREFOR El-Net A/S,788,8
2023-07-01T00:00:00,245,Konstant Net A/S - 245,381,3
2023-07-01T00:00:00,331,Netselskabet Elværk A/S - 331,107,2
2023-07-01T00:00:00,341,GEV Elnet A/S,13,0
2023-07-01T00:00:00,342,Ikast El Net A/S,42,1
2023-07-01T00:00:00,344,N1 A/S - 344,1697,37
2023-07-01T00:00:00,347,NOE Net A/S,101,0
2023-07-01T00:00:00,348,RAH Net A/S,234,5
2023-07-01T00:00:00,351,L-Net A/S,68,1
2023-07-01T00:00:00,357,Forsyning Elnet A/S,22,0
2023-07-01T00:00:00,370,Aal El-net A.m.b.a,13,0
2023-07-01T00:00:00,371,Hjerting Transformatorforening,8,0
2023-07-01T00:00:00,381,Hurup Elværk Net A/S,4,0
2023-07-01T00:00:00,384,Tarm Elværk Net A/S,10,0
2023-07-01T00:00:00,385,Videbæk Elnet A/S,8,0
2023-07-01T00:00:00,396,Sunds Net A.m.b.a,9,0
2023-07-01T00:00:00,398,N1 A/S - 398,7,0
2023-07-01T00:00:00,531,Ravdex A/S,64,1
2023-07-01T00:00:00,532,Veksel A/S,38,1
2023-07-01T00:00:00,533,FLOW Elnet A/S,188,3
2023-07-01T00:00:00,543,Vores Elnet A/S,949,6
2023-07-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,32,0
2023-07-01T00:00:00,740,Cerius A/S - 740,2506,103
2023-07-01T00:00:00,757,Elektrus A/S,90,1
2023-07-01T00:00:00,791,Radius Elnet A/S,5255,166
2023-07-01T00:00:00,853,Cerius A/S - 853,29,1
2023-07-01T00:00:00,854,NKE-Elnet A/S,103,0
2023-07-01T00:00:00,860,Zeanet A/S,127,2
2023-07-01T00:00:00,911,TREFOR El-Net Øst A/S,69,1
2023-06-01T00:00:00,016,El-net Kongerslev A/S,9,0
2023-06-01T00:00:00,031,Nord Energi Net A/S,531,13
2023-06-01T00:00:00,042,Netselskabet Elværk A/S - 042,82,3
2023-06-01T00:00:00,051,Elinord A/S,99,1
2023-06-01T00:00:00,084,Kimbrer Elnet A/S,21,0
2023-06-01T00:00:00,085,Læsø Elnet A/S,11,0
2023-06-01T00:00:00,131,N1 A/S - 131,2828,27
2023-06-01T00:00:00,141,Hammel Elforsyning Net A/S,23,0
2023-06-01T00:00:00,151,Konstant Net A/S - 151,873,8
2023-06-01T00:00:00,154,Elnet Midt A/S,182,2
2023-06-01T00:00:00,233,Dinel A/S - 233,680,1
2023-06-01T00:00:00,244,TREFOR El-Net A/S,728,11
2023-06-01T00:00:00,245,Konstant Net A/S - 245,355,3
