HourUTC,HourDK,GridCompany,ResidualConsumption,FlexSettledConsumption,HourlySettledConsumption
2023-12-31T18:00:00,2023-12-31T19:00:00,371,,2134.695,232.08
2023-12-31T18:00:00,2023-12-31T19:00:00,381,,1006.11,1286.39
2023-12-31T18:00:00,2023-12-31T19:00:00,384,,1463.992,2449.28
2023-12-31T18:00:00,2023-12-31T19:00:00,385,,1585.15,10374.89
2023-12-31T18:00:00,2023-12-31T19:00:00,396,,1714.168,416.23
2023-12-31T18:00:00,2023-12-31T19:00:00,398,,1689.567,1071.941
2023-12-31T18:00:00,2023-12-31T19:00:00,531,,12761.709,6697.65
2023-12-31T18:00:00,2023-12-31T19:00:00,532,,9767.04,1845.02
2023-12-31T18:00:00,2023-12-31T19:00:00,533,,24288.8,31314.92
2023-12-31T18:00:00,2023-12-31T19:00:00,543,,140551.4,148832.829
2023-12-31T18:00:00,2023-12-31T19:00:00,584,,5408.631,3393.56
2023-12-31T18:00:00,2023-12-31T19:00:00,740,,344092.447,178157.597
2023-12-31T18:00:00,2023-12-31T19:00:00,757,,10565.682,4188.84
2023-12-31T18:00:00,2023-12-31T19:00:00,791,,691440.664,441861.656
2023-12-31T18:00:00,2023-12-31T19:00:00,853,,5121.151,11412.468
2023-12-31T18:00:00,2023-12-31T19:00:00,854,,9370.699,2946.277
2023-12-31T18:00:00,2023-12-31T19:00:00,860,,13407.873,7186.48
2023-12-31T18:00:00,2023-12-31T19:00:00,911,,22865.58,7542.02
2023-12-31T18:00:00,2023-12-31T19:00:00,950,,63.7,
2023-12-31T18:00:00,2023-12-31T19:00:00,951,,10700.0,
2023-12-31T18:00:00,2023-12-31T19:00:00,952,,68490.35,
2023-12-31T18:00:00,2023-12-31T19:00:00,953,,13394.0,
2023-12-31T18:00:00,2023-12-31T19:00:00,954,,12610.0,
2023-12-31T18:00:00,2023-12-31T19:00:00,960,,159.4,
2023-12-31T18:00:00,2023-12-31T19:00:00,962,,11319.984,
2023-12-31T18:00:00,2023-12-31T19:00:00,990,,1420.0,
2023-12-31T17:00:00,2023-12-31T18:00:00,003,,104570.452,0.0
2023-12-31T17:00:00,2023-12-31T18:00:00,007,,77799.384,0.0
